(私自把此文件修改内容并安装到自己的播放软件并宣传死全家)
(倒卖文件或西柿TV死全家)
(此项目永久公益)
(私自修改文件内容并上传到某个网站 并说这个文件是自己维护的死全家)
(私自修改本软件名称图标直播源不换并宣传是自己做的死全家)
(此项目永久维护)
(作者测试直播地点:厦门)
(NC一天不喝奶茶就会死出品)
2025.9.14,#genre#
软件仅供学习使用,7
请在二十四小时内,8
删除本软件,8
作者qq联系方式,5
2579610865,000
频道不能播放,7
请及时私信,1
没有声音,777
请切换解码方式,p
EXO解码,4444555


CCTV8,http://182.207.183.183:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.90.25.126:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://182.207.183.183:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.90.25.126:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://182.207.183.183:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.90.25.126:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://182.207.183.183:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.90.25.126:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://182.207.183.183:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.90.25.126:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
cctv13,http://182.207.183.183:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.90.25.126:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://182.207.183.183:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.90.25.126:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://182.207.183.183:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.90.25.126:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://222.185.163.142:888/rtp/239.49.1.7:6000#

超高清央视,#genre#
CCTV1,http://122.141.152.229:9004/hls/1/index.m3u8
CCTV2,http://122.141.152.229:9004/hls/2/index.m3u8
CCTV3,http://122.141.152.229:9004/hls/3/index.m3u8
CCTV4,http://122.141.152.229:9004/hls/4/index.m3u8
CCTV5,http://122.141.152.229:9004/hls/6/index.m3u8
CCTV5+,http://122.141.152.229:9004/hls/7/index.m3u8
CCTV6,http://122.141.152.229:9004/hls/8/index.m3u8
CCTV7,http://122.141.152.229:9004/hls/9/index.m3u8
CCTV8,http://122.141.152.229:9004/hls/10/index.m3u8
CCTV9,http://122.141.152.229:9004/hls/11/index.m3u8
CCTV10,http://122.141.152.229:9004/hls/12/index.m3u8
CCTV11,http://122.141.152.229:9004/hls/13/index.m3u8
CCTV12,http://122.141.152.229:9004/hls/14/index.m3u8
CCTV13,http://122.141.152.229:9004/hls/15/index.m3u8
CCTV14,http://122.141.152.229:9004/hls/16/index.m3u8
CCTV15,
CCTV16_4K,http://171.83.99.130:8880/rtp/239.69.1.249:11136#http://175.11.168.87:4022/udp/239.76.253.230:9000#http://175.11.168.87:4022/udp/239.76.246.230:1234

卫视,#genre#
北京卫视,http://110.178.210.211:9003/hls/20/index.m3u8#http://122.141.152.229:9004/hls/30/index.m3u8
安徽卫视,http://110.178.210.211:9003/hls/21/index.m3u8
重庆卫视,http://110.178.210.211:9003/hls/22/index.m3u8
东方卫视,http://110.178.210.211:9003/hls/23/index.m3u8
甘肃卫视,http://110.178.210.211:9003/hls/25/index.m3u8
广东卫视,http://110.178.210.211:9003/hls/26/index.m3u8
广西卫视,http://110.178.210.211:9003/hls/27/index.m3u8
海南卫视,http://110.178.210.211:9003/hls/28/index.m3u8
河北卫视,http://110.178.210.211:9003/hls/29/index.m3u8
河南卫视,http://110.178.210.211:9003/hls/30/index.m3u8
黑龙江卫视,http://110.178.210.211:9003/hls/31/index.m3u8
江西卫视,http://110.178.210.211:9003/hls/36/index.m3u8
吉林卫视,http://110.178.210.211:9003/hls/34/index.m3u8
湖南卫视,http://110.178.210.211:9003/hls/33/index.m3u8#http://171.83.99.130:8880/rtp/239.69.1.27:9802
江苏卫视,http://110.178.210.211:9003/hls/35/index.m3u8
辽宁卫视,http://110.178.210.211:9003/hls/37/index.m3u8
内蒙古卫视,http://110.178.210.211:9003/hls/38/index.m3u8
宁夏卫视,http://110.178.210.211:9003/hls/39/index.m3u8
青海卫视,http://110.178.210.211:9003/hls/40/index.m3u8
陕西卫视,http://110.178.210.211:9003/hls/42/index.m3u8
深圳卫视,http://110.178.210.211:9003/hls/43/index.m3u8
兵团卫视,http://110.178.210.211:9003/hls/50/index.m3u8
西藏卫视,http://110.178.210.211:9003/hls/46/index.m3u8
新疆卫视,http://110.178.210.211:9003/hls/47/index.m3u8
东南卫视,http://125.82.182.163:9999/rtp/235.254.198.129:7980
浙江卫视,http://110.178.210.211:9003/hls/49/index.m3u8#http://171.83.99.130:8880/rtp/239.69.1.25:9790
湖北卫视,http://183.157.60.154:8686/udp/233.50.200.147:5140
四川卫视,http://110.178.210.211:9003/hls/44/index.m3u8
厦门卫视,http://182.207.183.183:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://182.207.183.183:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://110.178.210.211:9003/hls/41/index.m3u8#http://171.83.99.130:8880/rtp/239.69.1.26:9796
云南卫视,http://110.178.210.211:9003/hls/48/index.m3u8
天津卫视,http://110.178.210.211:9003/hls/45/index.m3u8
三沙卫视,http://www.lizhinas.top:1009/rtp/239.252.219.76:5140
山西卫视,http://110.178.210.211:9003/hls/19/index.m3u8
东南卫视,http://223.8.182.161:8083/udp/239.1.1.33:8033
大湾区卫视,http://14.153.182.41:8686/udp/239.77.0.215:5146

北京,#genre#
北京卫视,http://1.203.77.60:8899/udp/225.1.8.21:8002
北京文艺,http://1.203.77.60:8899/udp/225.1.8.22:8002
北京科教,http://1.203.77.60:8899/udp/225.1.8.105:8002
北京影视,http://1.203.77.60:8899/udp/225.1.8.82:8000
北京财经,http://1.203.77.60:8899/udp/225.1.8.106:8002
北京冬奥纪实,http://1.203.77.60:8899/udp/225.1.8.23:8002
北京生活,http://1.203.77.60:8899/udp/225.1.8.108:8002
北京青年,http://1.203.77.60:8899/udp/225.1.8.118:8002
北京新闻,http://1.203.77.60:8899/udp/225.1.8.83:8000
北京卡酷少儿,http://1.203.77.60:8899/udp/225.1.8.35:8000
北京冬奥纪实 4K,http://1.203.77.60:8899/udp/225.1.8.164:8002#http://1.203.77.60:8899/udp/225.1.8.120:8002
房山电视台,http://1.203.77.60:8899/udp/225.1.8.68:8002
朝阳融媒,http://1.203.77.60:8899/udp/225.1.8.69:8002
密云,http://1.203.77.60:8899/udp/225.1.8.75:8002
爱上4K,http://1.203.77.60:8899/udp/225.1.8.80:2000
北京IPTV淘精彩,http://1.203.77.60:8899/udp/225.1.8.33:8002
北京IPTV淘BABY,http://1.203.77.60:8899/udp/225.1.8.36:8002
北京IPTV淘剧场,http://1.203.77.60:8899/udp/225.1.8.37:8002
北京IPTV淘电影,http://1.203.77.60:8899/udp/225.1.8.38:8002
北京IPTV淘娱乐,http://1.203.77.60:8899/udp/225.1.8.61:8002
北京IPTV萌宠TV,http://1.203.77.60:8899/udp/225.1.8.63:8002
北京IPTV4K,http://1.203.77.60:8899/udp/225.1.8.211:8002
熊猫频道,http://1.203.77.60:8899/udp/225.1.8.210:8068
重温经典,http://116.77.33.98:44330/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0

江西,#genre#
江西卫视,http://117.44.118.247:9000/rtp/239.252.220.63:5140
江西都市频道,http://117.44.118.247:9000/rtp/239.252.220.238:5140
江西经济生活频道,http://117.44.118.247:9000/rtp/239.252.219.173:5140
（无）江西影视旅游频道,http://117.44.118.247:9000/rtp/239.252.220.242:5140
江西公共农业频道,http://117.44.118.247:9000/rtp/239.252.220.102:5140
江西少儿频道,http://117.44.118.247:9000/rtp/239.252.219.113:5140
江西新闻,http://117.44.118.247:9000/rtp/239.252.220.100:5140
江西移动电视频道,http://117.44.118.247:9000/rtp/239.252.220.241:5140
江西教育频道,http://117.44.118.247:9000/rtp/239.252.219.115:5140
陶瓷,http://117.44.118.247:9000/rtp/239.252.220.243:5140

辽宁,#genre#
辽宁卫视,http://182.207.183.183:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁影视剧,http://182.207.183.183:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁生活,http://182.207.183.183:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁北方,http://182.207.183.183:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁经济,http://182.207.183.183:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁都市,http://182.207.183.183:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁公共,http://182.207.183.183:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0

山西,#genre#
山西卫视,http://171.116.255.54:9003/hls/19/index.m3u8
山西影视,http://171.116.255.54:9003/hls/51/index.m3u8
山西经济与科技,http://171.116.255.54:9003/hls/52/index.m3u8
山西社会与法制,http://171.116.255.54:9003/hls/53/index.m3u8
山西文体生活,http://171.116.255.54:9003/hls/54/index.m3u8
山西黄河,http://171.116.255.54:9003/hls/55/index.m3u8

河南,#genre#
河南卫视,http://42.238.235.96:85/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南都市,http://42.238.235.96:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河南民生,http://42.238.235.96:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0

重庆,#genre#
CQTV影视,http://125.82.182.163:9999/rtp/235.254.198.180:7980
CQTV都市,http://125.82.182.163:9999/rtp/235.254.198.181:7980
CQTV时尚,http://125.82.182.163:9999/rtp/235.254.198.182:7980
CQTV娱乐,http://125.82.182.163:9999/rtp/235.254.198.187:7980
